0	None	f	\N	\N
1	CANADA	f	NA	VE
2	ABU AIL IS.	t	\N	\N
3	AFGHANISTAN	f	AS	YA
4	AGALEGA & ST. BRANDON IS.	f	AF	3B6
5	ALAND IS.	f	EU	OH0
6	ALASKA	f	NA	KL
7	ALBANIA	f	EU	ZA
8	ALDABRA	t	\N	\N
9	AMERICAN SAMOA	f	OC	KH8
10	AMSTERDAM & ST. PAUL IS.	f	AF	FT/z
11	ANDAMAN & NICOBAR IS.	f	AS	VU4
12	ANGUILLA	f	NA	VP2E
13	ANTARCTICA	f	SA	CE9
14	ARMENIA	f	AS	EK
15	ASIATIC RUSSIA	f	AS	UA9
16	NEW ZEALAND SUBANTARCTIC ISLANDS	f	OC	ZL9
17	AVES I.	f	NA	YV0
18	AZERBAIJAN	f	AS	4J
19	BAJO NUEVO	t	\N	\N
20	BAKER & HOWLAND IS.	f	OC	KH1
21	BALEARIC IS.	f	EU	EA6
22	PALAU	f	OC	T8
23	BLENHEIM REEF	t	\N	\N
24	BOUVET	f	AF	3Y/b
25	BRITISH NORTH BORNEO	t	\N	\N
26	BRITISH SOMALILAND	t	\N	\N
27	BELARUS	f	EU	EU
28	CANAL ZONE	t	\N	\N
29	CANARY IS.	f	AF	EA8
30	CELEBE & MOLUCCA IS.	t	\N	\N
31	C. KIRIBATI (BRITISH PHOENIX IS.)	f	OC	T31
32	CEUTA & MELILLA	f	AF	EA9
33	CHAGOS IS.	f	AF	VQ9
34	CHATHAM IS.	f	OC	ZL7
35	CHRISTMAS I.	f	OC	VK9X
36	CLIPPERTON I.	f	NA	FO/c
37	COCOS I.	f	NA	TI9
38	COCOS (KEELING) IS.	f	OC	VK9C
39	COMOROS	t	\N	\N
40	CRETE	f	EU	SV9
41	CROZET I.	f	AF	FT/w
42	DAMAO, DIU	t	\N	\N
43	DESECHEO I.	f	NA	KP5
44	DESROCHES	t	\N	\N
45	DODECANESE	f	EU	SV5
46	EAST MALAYSIA	f	OC	9M6
47	EASTER I.	f	SA	CE0Y
48	E. KIRIBATI (LINE IS.)	f	OC	T32
49	EQUATORIAL GUINEA	f	AF	3C
50	MEXICO	f	NA	XE
51	ERITREA	f	AF	E3
52	ESTONIA	f	EU	ES
53	ETHIOPIA	f	AF	ET
54	EUROPEAN RUSSIA	f	EU	UA
55	FARQUHAR	t	\N	\N
